Spot_ID,Trace_ID,X,Y,Z,Chrom,Chrom_Start,Chrom_End,Cell_ID,Distance_To_Lamina,Distance_To_Nucleolus
1,1,110.5739636611,129.244672199765,1.79925511433455,19,4190000,4290000,411,1.4371291608785,0.615269335752327
2,1,110.262885072198,129.093297854944,2.31765925121164,19,5890000,5990000,411,1.69072708245796,0.809777487006545
3,1,109.743290530376,129.745430754948,1.36341800490182,19,7195510,7295510,411,0.899057069360617,0.996905034861639
4,1,109.165345345238,129.784737917591,0.915294727446869,19,8055510,8155510,411,0.311610630718308,1.72495259446156
5,1,109.17666853307,129.793967150626,0.718879799948955,19,9255510,9355510,411,0.153483458032967,1.8494539496505
6,1,109.901916173166,129.688016362803,1.22414521858833,19,10015510,10115510,411,0.837919498637308,0.99979665227111
7,1,110.444200751944,129.570229988813,1.69698085751178,19,10335510,10435510,411,1.39468059387061,0.413308539793214
8,1,110.717489317889,129.520146373466,1.77159668254475,19,10755510,10855510,411,1.42813300808164,0.39116188831269
9,1,111.779098235276,130.332686250565,2.23622979220573,19,11455510,11555510,411,2.31639235224584,0.0251328463008253
10,1,112.235735460533,130.50678933771,2.6618657446015,19,12895510,12995510,411,2.36886767813778,0.338407647185356
11,1,112.243575092027,130.56869852806,2.76099341788773,19,14895510,14995510,411,2.26643816316181,0.415851451063336
12,1,111.268737533703,129.669723136281,2.40668398140592,19,16335510,16435510,411,2.10581921131508,0.396314965538491
13,1,111.27489641084,129.603533701678,1.77998760263888,19,17195510,17295510,411,1.49229089133962,0.46752678127528
14,1,110.556249027057,129.595349840543,1.65128332830719,19,18075510,18175510,411,1.3388039571782,0.437083073727541
15,1,109.111366653535,129.82584630474,1.44407985506658,19,20915510,21015510,411,0.662283243343542,1.49126847639623
16,1,108.696985363608,129.697053218707,1.41923868919463,19,21995510,22095510,411,0.275659827053449,1.89124411151132
17,1,108.445171057764,129.779812103406,1.15307440280744,19,22535510,22635510,411,0.0218685091745141,2.21848571016632
18,1,108.336314446306,129.590219650989,1.63686497998598,19,23515510,23615510,411,0.0711183149494781,2.19445802112643
19,1,112.045571370724,129.871410928843,3.1921412684441,19,24535510,24635510,411,2.07748824673706,0.679808817461298
20,1,112.51397635267,129.899624216759,2.83163544953497,19,25235510,25335510,411,2.0197800140877,0.632575689627673
21,1,109.206842507593,129.515789058316,0.769818502266465,19,26475510,26575510,411,0.206872790405494,1.81699622915082
22,1,111.568773217967,129.679030615319,2.31257171219262,19,28755510,28855510,411,2.08669944681447,0.342894372460361
23,1,110.745403905981,129.626509892419,1.89915435743316,19,30335510,30435510,411,1.57589155316605,0.232987680615689
24,1,110.401131519852,129.819585616745,1.31313562705426,19,31135510,31235510,411,1.1506973643218,0.718553350228198
25,1,109.854400471988,129.714799520752,1.3590209149815,19,32175510,32275510,411,0.931097372473096,0.923406844951018
26,1,110.018777110632,129.876223730639,1.56859602483222,19,32875510,32975510,411,1.22113951804761,0.65581130970896
27,1,108.893104061439,130.221941909135,1.00266168888856,19,33715510,33815510,411,0.257903887001878,1.93514162997266
28,1,108.925254002895,130.25358869756,1.35383905503327,19,34475510,34575510,411,0.583202733271728,1.75332953647407
29,1,108.80871359825,130.054570518684,0.95704486894138,19,35455510,35555510,411,0.196172702152489,2.00201383303395
30,1,112.655211701393,129.439731927565,3.04762032985402,19,36375510,36475510,411,1.757142308028,1.01218221645737
31,1,112.884975258191,129.130897898938,3.0499853065672,19,37035510,37135510,411,1.442832534243,1.20126220128324
32,1,107.892518249345,129.824593644069,2.96036037326006,19,38275510,38375510,411,0.50842177026489,2.31367386126094
33,1,107.892698292072,129.909516670782,2.53994445188966,19,39795510,39895510,411,0.509194276619016,2.28780333994002
34,1,108.271040765442,129.86562243051,2.32763417673875,19,41215510,41315510,411,0.559509412083594,2.23385333635991
35,1,109.113614547982,129.837858336847,1.84682108592311,19,42775510,42875510,411,0.854162492521003,1.38233760919068
36,1,111.724070635303,129.466640350309,3.74750903079955,19,44343676,44443676,411,1.96283342291289,1.17497260502271
37,1,109.617916456454,129.562354890073,2.65877230626159,19,45355510,45455510,411,1.49545538674371,1.10168847099571
38,1,109.902387824561,129.726050870599,2.60429519799229,19,45855510,45955510,411,1.73613060266204,0.824478946007688
